-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
/home/redhat-et/lkesem/vllm/vllm/profiler/wrapper.py...         0.00%       1.008us         0.00%     254.912us     254.912us       0.000us         0.00%       0.000us       0.000us             1  
/home/redhat-et/lkesem/vllm/vllm/profiler/wrapper.py...         0.00%       2.768us         0.00%     253.904us     253.904us       0.000us         0.00%       0.000us       0.000us             1  
                torch/profiler/profiler.py(1128): start         0.00%       0.976us         0.00%     237.248us     237.248us       0.000us         0.00%       0.000us       0.000us             1  
      torch/profiler/profiler.py(1262): _transit_action         0.00%       1.392us         0.00%     236.272us     236.272us       0.000us         0.00%       0.000us       0.000us             1  
           torch/profiler/profiler.py(342): start_trace         0.00%      16.128us         0.00%     234.880us     234.880us       0.000us         0.00%       0.000us       0.000us             1  
          torch/autograd/profiler.py(414): _start_trace         0.00%      32.160us         0.00%      32.976us      32.976us       0.000us         0.00%       0.000us       0.000us             1  
                    <built-in function perf_counter_ns>         0.00%       1.056us         0.00%       1.056us       0.528us       0.000us         0.00%       0.000us       0.000us             2  
     torch/profiler/profiler.py(538): add_metadata_json         0.00%       7.248us         0.00%      10.096us       2.019us       0.000us         0.00%       0.000us       0.000us             5  
<built-in method _add_metadata_json of pybind11_buil...         0.00%       2.848us         0.00%       2.848us       0.570us       0.000us         0.00%       0.000us       0.000us             5  
<built-in method kineto_available of pybind11_builti...         0.00%       0.288us         0.00%       0.288us       0.288us       0.000us         0.00%       0.000us       0.000us             1  
torch/profiler/profiler.py(554): _get_distributed_in...         0.00%      19.136us         0.00%     142.624us     142.624us       0.000us         0.00%       0.000us       0.000us             1  
        torch/distributed/__init__.py(17): is_available         0.00%       1.536us         0.00%       2.928us       2.928us       0.000us         0.00%       0.000us       0.000us             1  
                            <built-in function hasattr>         0.00%     139.200us         0.00%     139.200us       0.174us       0.000us         0.00%       0.000us       0.000us           801  
torch/distributed/distributed_c10d.py(1394): is_init...         0.00%       3.216us         0.00%       5.344us       1.069us       0.000us         0.00%       0.000us       0.000us             5  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 90.904s
Self CUDA time total: 735.542ms

